antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Humidity_Category_Dry'}),frozenset({'High_Temp'}),0.22332389046270065,0.5504013220018886,0.15852219074598678,0.709830866807611,1.289660541195385,1.0,0.03560442620071137,1.549436609785841,0.28918381249618075,0.25767459708365315,0.35460412276032555,0.4989214381217982
frozenset({'High_Temp'}),frozenset({'Humidity_Category_Dry'}),0.5504013220018886,0.22332389046270065,0.15852219074598678,0.28801200943598537,1.2896605411953848,1.0,0.03560442620071137,1.0908556321603695,0.4995614298306299,0.25767459708365315,0.08328841093338421,0.4989214381217982
frozenset({'Wind_Category_Moderate'}),frozenset({'High_Temp'}),0.14742681775259678,0.5504013220018886,0.11732766761095373,0.7958366693354684,1.4459207082586505,1.0,0.03618375222139296,2.2021519561554554,0.3617274740788633,0.2021146807645384,0.5458987300105245,0.504502079038311
frozenset({'High_Temp'}),frozenset({'Wind_Category_Moderate'}),0.5504013220018886,0.14742681775259678,0.11732766761095373,0.21316748874115374,1.4459207082586507,1.0,0.03618375222139296,1.0835510353828404,0.6859431728200657,0.2021146807645384,0.07710853725807207,0.504502079038311
frozenset({'Temp_Category_Cold'}),frozenset({'High_Humidity'}),0.24551463644948066,0.5347025495750708,0.18626062322946177,0.7586538461538461,1.4188334182373918,1.0,0.05498332116192786,1.9279256910036904,0.39125427697169,0.3135930047694754,0.4813078093900011,0.5534991085073866
frozenset({'High_Humidity'}),frozenset({'Temp_Category_Cold'}),0.5347025495750708,0.24551463644948066,0.18626062322946177,0.3483443708609272,1.4188334182373918,1.0,0.05498332116192786,1.1577976615460206,0.6344234749880879,0.3135930047694754,0.13629122495835028,0.5534991085073866
frozenset({'Humidity_Category_Humid'}),frozenset({'High_Humidity'}),0.34006137865911235,0.5347025495750708,0.34006137865911235,1.0,1.8701986754966888,1.0,0.1582296924780714,inf,0.7050617063137185,0.6359823399558499,1.0,0.817991169977925
frozenset({'High_Humidity'}),frozenset({'Humidity_Category_Humid'}),0.5347025495750708,0.34006137865911235,0.34006137865911235,0.6359823399558499,1.8701986754966888,1.0,0.1582296924780714,1.8129302332772714,1.0,0.6359823399558499,0.44840679379466286,0.817991169977925
frozenset({'Humidity_Category_Very Humid'}),frozenset({'High_Humidity'}),0.05028328611898017,0.5347025495750708,0.05028328611898017,1.0,1.8701986754966888,1.0,0.023396684830148708,inf,0.4899328859060403,0.09403973509933775,1.0,0.5470198675496689
frozenset({'High_Humidity'}),frozenset({'Humidity_Category_Very Humid'}),0.5347025495750708,0.05028328611898017,0.05028328611898017,0.09403973509933775,1.8701986754966886,1.0,0.023396684830148708,1.048298419561652,1.0,0.09403973509933775,0.04607315880705809,0.5470198675496689
frozenset({'Wind_Category_Calm'}),frozenset({'High_Humidity'}),0.625590179414542,0.5347025495750708,0.4122993389990557,0.6590566037735849,1.2325667874547046,1.0,0.07779467507697413,1.3647351894035,0.5039529608667886,0.5512071958339908,0.2672571149593636,0.7150691407388896
frozenset({'High_Humidity'}),frozenset({'Wind_Category_Calm'}),0.5347025495750708,0.625590179414542,0.4122993389990557,0.7710816777041942,1.2325667874547046,1.0,0.07779467507697413,1.6355607398766872,0.4055146605452698,0.5512071958339908,0.3885888945491594,0.7150691407388896
frozenset({'High_Wind'}),frozenset({'Temp_Category_Hot'}),0.37440982058545796,0.23961284230406044,0.11980642115203022,0.31998738965952084,1.3354350567465323,1.0,0.030093019854995323,1.1181956718644046,0.4015094339622643,0.2424170050155242,0.10570213678911215,0.40999369482976045
frozenset({'Temp_Category_Hot'}),frozenset({'High_Wind'}),0.23961284230406044,0.37440982058545796,0.11980642115203022,0.5,1.3354350567465323,1.0,0.030093019854995323,1.251180358829084,0.33033219497050614,0.2424170050155242,0.20075471698113212,0.40999369482976045
frozenset({'High_Wind'}),frozenset({'Temp_Category_Very Hot'}),0.37440982058545796,0.10422568460812087,0.07400849858356941,0.19766708701134933,1.8965295143376575,1.0,0.03498537870904635,1.1164621329756543,0.7556402154614669,0.18290548424737457,0.10431355398078158,0.4538731811047687
frozenset({'Temp_Category_Very Hot'}),frozenset({'High_Wind'}),0.10422568460812087,0.37440982058545796,0.07400849858356941,0.710079275198188,1.8965295143376575,1.0,0.03498537870904635,2.1577973766525025,0.5277234341739062,0.18290548424737457,0.536564456505481,0.4538731811047687
frozenset({'High_Wind'}),frozenset({'Humidity_Category_Very Dry'}),0.37440982058545796,0.08675637393767706,0.06610009442870633,0.17654476670870115,2.0349486578994775,1.0,0.03361765602805576,1.1090385841767565,0.8129716981132077,0.16731401254855097,0.09831811600828695,0.46922476430673155
frozenset({'Humidity_Category_Very Dry'}),frozenset({'High_Wind'}),0.08675637393767706,0.37440982058545796,0.06610009442870633,0.761904761904762,2.034948657899478,1.0,0.03361765602805576,2.627478753541077,0.5569018999612253,0.16731401254855097,0.6194070080862536,0.46922476430673155
frozenset({'High_Wind'}),frozenset({'Humidity_Category_Dry'}),0.37440982058545796,0.22332389046270065,0.12204910292728989,0.32597730138713743,1.4596615736531862,1.0,0.038434445166703676,1.1522996349168912,0.5033801686069852,0.25657568238213396,0.13217016677079457,0.4362444646470571
