dt,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,hour,day,weekday,month,pm2_5,pm10,no,no2,o3,so2,co,AQI_change_1h,AQI_rolling_mean_6h
2025-04-19 04:43:34.606878,,,,,,,,,,,,4,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 05:43:34.606878,,,,,,,,,,,,5,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 06:43:34.606878,,,,,,,,,,,,6,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 07:43:34.606878,,,,,,,,,,,,7,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 08:43:34.606878,,,,,,,,,,,,8,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 09:43:34.606878,,,,,,,,,,,,9,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 10:43:34.606878,,,,,,,,,,,,10,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 11:43:34.606878,,,,,,,,,,,,11,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 12:43:34.606878,,,,,,,,,,,,12,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 13:43:34.606878,,,,,,,,,,,,13,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 14:43:34.606878,,,,,,,,,,,,14,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 15:43:34.606878,,,,,,,,,,,,15,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 16:43:34.606878,,,,,,,,,,,,16,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 17:43:34.606878,,,,,,,,,,,,17,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 18:43:34.606878,,,,,,,,,,,,18,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
